ClienteID,Edad,Genero,Antiguedad_meses,Uso_mensual_GB,Plan,Soporte_contactado,Pago_puntual,Churn
1,58.0,Masculino,32,0.77,Básico,,1,0
2,22.0,Masculino,19,1.58,Básico,4.0,1,0
3,28.0,Masculino,36,20.84,Premium,2.0,0,0
4,21.0,Femenino,28,0.57,Básico,9.0,1,0
5,29.0,Masculino,15,2.61,Básico,4.0,1,1
6,20.0,Femenino,9,5.65,Básico,6.0,1,0
7,41.0,Masculino,16,0.5,Estándar,9.0,1,0
8,29.0,Masculino,58,0.58,Básico,8.0,1,1
9,58.0,Masculino,56,0.77,Básico,7.0,1,0
10,46.0,Masculino,6,5.18,Estándar,5.0,1,1
11,41.0,Femenino,8,12.0,Estándar,,0,0
12,43.0,Femenino,33,8.74,Premium,7.0,1,0
13,48.0,Femenino,32,20.39,Premium,3.0,1,0
14,54.0,Masculino,46,4.32,Básico,1.0,1,0
15,34.0,Femenino,36,16.28,Estándar,8.0,1,0
16,32.0,Femenino,42,1.82,Estándar,5.0,1,1
17,45.0,Femenino,59,2.74,Básico,9.0,1,0
18,,Femenino,48,2.52,Básico,7.0,1,1
19,24.0,Masculino,36,0.24,Básico,7.0,1,0
20,45.0,Masculino,34,8.85,Básico,3.0,1,0
21,55.0,Femenino,2,0.13,Básico,9.0,0,0
22,47.0,Femenino,13,6.54,Premium,4.0,1,1
23,44.0,Masculino,43,2.61,Premium,0.0,1,0
24,46.0,Femenino,10,0.03,Básico,8.0,1,0
25,62.0,Femenino,57,1.71,Básico,6.0,1,0
26,50.0,Femenino,38,2.12,Básico,0.0,0,0
27,21.0,Masculino,7,16.72,Básico,9.0,0,0
28,39.0,Masculino,59,5.41,Estándar,9.0,1,0
29,41.0,Masculino,59,3.92,Estándar,2.0,0,1
30,52.0,Femenino,47,0.68,Básico,8.0,1,0
31,41.0,Femenino,52,2.48,Básico,0.0,1,0
32,40.0,Femenino,51,0.18,Premium,5.0,1,1
33,41.0,Femenino,3,7.17,Básico,4.0,1,0
34,43.0,Masculino,53,0.89,Básico,3.0,0,1
35,39.0,Masculino,27,,Básico,0.0,1,0
36,35.0,Masculino,14,6.01,Básico,6.0,1,0
37,38.0,Masculino,54,2.28,Premium,0.0,1,0
38,44.0,Masculino,30,5.01,Estándar,0.0,1,0
39,47.0,Femenino,34,7.22,Básico,1.0,1,0
40,73.0,Masculino,23,1.02,Básico,8.0,1,0
41,24.0,Femenino,48,4.59,Premium,,1,0
42,47.0,Femenino,55,6.62,Básico,7.0,1,0
43,58.0,Femenino,17,2.21,Básico,0.0,1,1
44,31.0,Masculino,15,0.89,Premium,0.0,1,0
45,48.0,Masculino,45,1.69,Premium,,1,0
46,36.0,Masculino,44,13.52,Estándar,7.0,0,0
47,34.0,Masculino,7,2.21,Estándar,0.0,1,1
48,,Femenino,52,0.57,Básico,6.0,1,1
49,39.0,Masculino,52,0.43,Premium,7.0,1,1
50,38.0,Femenino,3,1.0,Básico,,1,0
51,49.0,Femenino,9,0.68,Básico,3.0,1,0
52,23.0,Femenino,3,,Básico,1.0,1,0
53,50.0,Masculino,48,2.14,Básico,5.0,0,0
54,50.0,Femenino,52,9.21,Básico,4.0,0,0
55,44.0,Masculino,35,10.65,Básico,4.0,0,0
56,67.0,Masculino,40,3.21,Básico,7.0,1,0
57,55.0,Femenino,8,10.97,Básico,0.0,1,0
58,34.0,Femenino,26,2.99,Básico,,1,0
59,26.0,Masculino,56,5.14,Básico,1.0,0,0
60,32.0,Masculino,15,0.89,Básico,0.0,1,1
61,33.0,Femenino,5,0.27,Básico,3.0,1,0
62,18.0,Masculino,13,0.87,Básico,1.0,1,1
63,46.0,Masculino,15,1.45,Básico,9.0,1,1
64,24.0,Masculino,39,6.95,Estándar,6.0,0,1
65,43.0,Masculino,12,0.95,Básico,4.0,1,0
66,51.0,Femenino,35,0.7,Básico,4.0,1,0
67,57.0,Masculino,8,13.13,Premium,0.0,1,0
68,37.0,Femenino,10,5.84,Estándar,1.0,0,1
69,31.0,Masculino,34,3.21,Estándar,4.0,0,0
70,56.0,Masculino,8,0.5,Estándar,6.0,1,1
71,58.0,Masculino,22,9.55,Básico,0.0,0,0
